terms,loadings,upper,lower,Sign
interference,0.11099897,0.222822964,0.006371361,1
consciousness,0.11417107,0.220186442,0.001016481,1
effort,0.11879744,0.236838832,0.010137092,1
competition,0.12497488,0.241237886,0.010761672,1
expertise,0.1317426,0.247967303,0.030999589,1
goal,0.1513482,0.256313249,0.060257567,1
responseselection,0.15975711,0.281890213,0.056415183,1
naming,0.16781577,0.257278636,0.086052526,1
reading,0.16812412,0.265919104,0.08402938,1
navigation,0.18151242,0.315777063,0.045160994,1
integration,0.19694881,0.28980948,0.105764925,1
efficiency,0.19735044,0.298528984,0.087436274,1
updating,0.21254282,0.31045118,0.123997387,1
adaptation,0.22850119,0.322961509,0.138774164,1
rhythm,0.23680437,0.341666579,0.13811107,1
discrimination,0.24290071,0.348583102,0.136546232,1
rehearsal,0.24392287,0.345974237,0.154086433,1
search,0.24435337,0.341315359,0.140793897,1
perception,0.2489081,0.326995701,0.176496826,1
categorization,0.25201446,0.347332701,0.141085766,1
selectiveattention,0.30278492,0.389860511,0.218732536,1
localization,0.30311251,0.395596504,0.206267081,1
manipulation,0.30695671,0.391293243,0.221979268,1
mentalimagery,0.32344151,0.425162926,0.223848745,1
objectrecognition,0.33834493,0.4458386,0.240625925,1
visualperception,0.3396408,0.434126258,0.262992978,1
detection,0.36418861,0.460952953,0.279293552,1
motorcontrol,0.37025723,0.465851635,0.283099785,1
attention,0.38638932,0.471895128,0.306152374,1
action,0.40160173,0.486001238,0.336575106,1
coordination,0.4086591,0.495534286,0.333604097,1
gaze,0.4113397,0.492227733,0.339447141,1
skill,0.41449788,0.502345949,0.333528325,1
planning,0.42395902,0.506358624,0.352651805,1
spatialattention,0.43147293,0.511631668,0.36538291,1
multisensory,0.4379904,0.505666792,0.373156264,1
fixation,0.46269947,0.537878931,0.391387582,1
movement,0.46620125,0.551734835,0.394826859,1
imagery,0.46727717,0.540139973,0.403695807,1
visualattention,0.52080089,0.596346647,0.445006758,1
