gene,EntrezID,p_value,loading
FKBP14,55033,0.002,-0.707744896411896
ZNF706,51123,0.003,-0.707661926746368
LOC105373383,0,0.003,-0.706822097301483
RNASEH2A,10535,0.001,-0.706433057785034
WDR6,11180,0.001,-0.706356704235077
BTG3,10950,0.004,-0.705711662769318
RSPH9,221421,0.004,-0.705499470233917
SCN9A,6335,0.002,-0.703283548355103
RYR1,6261,0.001,-0.702136218547821
CABCOCO1,0,0.001,-0.701507449150085
MCM6,4175,0.001,-0.700832366943359
PCOLCE2,26577,0.001,-0.700799882411957
LRRC36,55282,0.003,-0.700580775737762
AK8,0,0.001,-0.699861347675323
CNGB1,1258,0.002,-0.699648082256317
BCL2A1,597,0.004,-0.699228465557098
GPRIN1,114787,0.004,-0.697543263435364
NRP2,8828,0.002,-0.694583714008331
FBL,0,0.002,-0.694382309913635
SSBP2,23635,0.002,-0.692457556724548
TINCR,0,0.001,-0.691984593868256
SORBS2,8470,0.006,-0.691898822784424
ADM5,0,0.002,-0.691818535327911
LRRIQ1,84125,0.001,-0.691410779953003
LINC00937,0,0.002,-0.69072550535202
KLHDC8B,200942,0.008,-0.690656661987305
DNAL4,10126,0.004,-0.6905837059021
PGM2L1,283209,0.002,-0.690540730953217
TMED10,10972,0.002,-0.689939439296722
B3GALNT1,8706,0.002,-0.688858091831207
SMARCA1,6594,0.002,-0.687276721000671
FARP1,10160,0.003,-0.686540722846985
SOX4,6659,0.007,-0.686331570148468
ZCCHC12,170261,0.014,-0.686262428760529
ANKRD6,22881,0.002,-0.686003923416138
FAM71F1,84691,0.004,-0.685976505279541
PCSK5,5125,0.003,-0.685824930667877
NPNT,255743,0.001,-0.684725403785706
DNAJB5,25822,0.001,-0.684591233730316
CPNE6,9362,0.004,-0.683843314647675
SCUBE2,57758,0,-0.68267810344696
CHODL,140578,0.005,-0.679374635219574
ZMAT1,84460,0.002,-0.679277360439301
GOLT1A,127845,0.003,-0.678778469562531
PYDC1,260434,0.003,-0.677302360534668
SCARA5,286133,0.016,-0.677070915699005
LUZP2,338645,0.002,-0.676805019378662
C1QTNF2,114898,0.002,-0.676657736301422
IGSF22,283284,0.002,-0.674415051937103
03-Mar,0,0.002,-0.674006819725037
CNMD,0,0.002,-0.67376583814621
SLC4A3,6508,0.001,-0.673743724822998
CDK17,0,0.001,-0.673533141613007
RRAS2,22800,0.006,-0.672851324081421
ZCCHC18,644353,0.016,-0.672323763370514
ADIRF,0,0.001,-0.672092914581299
CFD,1675,0.006,-0.671826779842377
GPR88,54112,0.003,-0.671785652637482
SCN3A,6328,0.002,-0.671459913253784
RILPL2,196383,0.003,-0.671248137950897
CMTM8,152189,0.005,-0.670727133750916
GABRA5,2558,0.007,-0.670334041118622
DHX58,79132,0.003,-0.669983088970184
HNRNPC,3183,0.005,-0.669203877449036
ARHGAP36,0,0.001,-0.669011890888214
TP53I11,9537,0.008,-0.668921887874603
STX17-AS1,0,0.001,-0.668276786804199
ELL3,80237,0.008,-0.667527914047241
CANX,821,0.011,-0.667383909225464
DISP2,85455,0.005,-0.666686356067657
MYO16,23026,0.002,-0.665770769119263
SOX11,6664,0.002,-0.665509700775146
LOC93622,93622,0.016,-0.665367722511292
DNAAF4,0,0.002,-0.665059626102448
PTGER3,5733,0.008,-0.665018320083618
CD24,100133941,0.001,-0.664622724056244
CPAMD8,27151,0.002,-0.664535582065582
CCDC85C,317762,0.002,-0.664402604103088
PON3,5446,0.002,-0.664083242416382
FAM117A,81558,0.001,-0.663971364498138
ESD,2098,0.001,-0.6638343334198
DNAJC12,56521,0.003,-0.663274645805359
DHRS12,79758,0.001,-0.663240313529968
NCAN,1463,0.001,-0.662545204162598
SCGN,10590,0.009,-0.662527024745941
SLA,6503,0.012,-0.662452220916748
PLPPR2,0,0.009,-0.662009835243225
WDR66,144406,0.004,-0.661964535713196
EXOSC8,11340,0.001,-0.661705493927002
NTSR1,4923,0.002,-0.661516547203064
PACRG,135138,0.003,-0.661371171474457
TSTD1,0,0.003,-0.66041499376297
SLC2A12,154091,0.001,-0.659742414951324
TRAIP,10293,0.002,-0.658612430095673
SMAD1,4086,0.019,-0.657727837562561
LOXL3,84695,0,-0.657582759857178
PTHLH,5744,0.008,-0.65757018327713
SEMA4A,64218,0.004,-0.657508909702301
GASAL1,0,0.002,-0.657409071922302
TTC9B,148014,0.006,-0.657403409481049
ZNF521,25925,0.008,-0.657009184360504
PDE2A,5138,0.007,-0.656752705574036
FDXR,2232,0.001,-0.656530022621155
GRID2,2895,0.003,-0.656253159046173
SHANK1,50944,0.001,-0.654982328414917
CENPW,0,0.01,-0.654716074466705
BRINP3,0,0.001,-0.654622137546539
MMD,23531,0.009,-0.654488682746887
YWHAZ,7534,0.005,-0.654424428939819
SLC30A10,55532,0.002,-0.654340267181396
GTF2H5,404672,0.007,-0.654262959957123
COL21A1,81578,0.002,-0.653871774673462
SMARCD3,6604,0.005,-0.653544008731842
SMIM30,0,0.001,-0.653462290763855
TENM1,0,0.002,-0.653205454349518
PNMT,5409,0.018,-0.652738392353058
TERF1,7013,0.001,-0.652346670627594
GLDC,2731,0.023,-0.651970267295837
SIN3B,23309,0.001,-0.651748061180115
METTL5,29081,0.004,-0.651463508605957
PTGER4,5734,0.007,-0.651326537132263
FABP7,2173,0.002,-0.65105789899826
RBFA,79863,0.001,-0.650596141815186
LRCH2,57631,0.004,-0.649077296257019
GABRA2,2555,0.002,-0.649018526077271
LOC400710,0,0.001,-0.648789942264557
PCK2,5106,0.001,-0.648777663707733
PELI1,57162,0.005,-0.648693859577179
CHMP1A,5119,0.007,-0.648397207260132
CNR1,1268,0.008,-0.648391008377075
ARHGAP6,395,0.003,-0.648277282714844
LTBP4,8425,0.005,-0.648158252239227
ARHGAP33,0,0.003,-0.648040413856506
RIMBP2,23504,0.002,-0.647591114044189
DPYSL3,1809,0.003,-0.647359251976013
INTS4,92105,0.002,-0.647123575210571
TRIB3,57761,0.007,-0.646621406078339
E2F5,1875,0.003,-0.646611750125885
SLC16A8,23539,0.007,-0.646004617214203
LINC00260,84719,0.004,-0.645926296710968
VPS37B,79720,0.002,-0.645879626274109
RAP2B,5912,0.005,-0.645834147930145
PPM1N,147699,0.002,-0.645397663116455
PSME2,5721,0.003,-0.64537525177002
ID4,3400,0.001,-0.645204305648804
ALKAL2,0,0.006,-0.644752323627472
DHRS2,10202,0.018,-0.644587457180023
PRRC2B,0,0.003,-0.644519805908203
PLCH2,9651,0.002,-0.644318640232086
ALCAM,214,0.002,-0.64394474029541
EIF4EBP1,1978,0.001,-0.643732726573944
RAVER2,55225,0.002,-0.64372318983078
KLF8,11279,0.004,-0.643441259860992
EIF1AY,9086,0.002,-0.643141388893127
LSP1,4046,0.001,-0.642687261104584
WDR44,54521,0.002,-0.64268571138382
CXorf57,55086,0.013,-0.642470896244049
CCDC90B,60492,0.001,-0.642432928085327
NUDT16L1,84309,0.008,-0.642401158809662
ISOC1,51015,0.003,-0.642332792282104
GNG10,2790,0.006,-0.642118990421295
FAM181A,90050,0.003,-0.64211106300354
DACT1,51339,0.012,-0.642070114612579
ARVCF,421,0.001,-0.642061293125153
DOK4,55715,0.004,-0.642032325267792
TECPR2,9895,0.001,-0.64157098531723
SLC24A3,57419,0,-0.641503274440765
PANX2,56666,0.008,-0.641097903251648
INTU,27152,0.002,-0.640906095504761
RPL12,6136,0.01,-0.640723645687103
PLCD3,113026,0.001,-0.640203177928925
ZC3HAV1,56829,0.003,-0.64006119966507
ARL10,285598,0.003,-0.639777958393097
HES5,388585,0.002,-0.639426350593567
CADM1,23705,0.004,-0.638937175273895
EGFEM1P,93556,0.005,-0.63865339756012
HEBP1,50865,0.003,-0.638593137264252
PRSS35,0,0.006,-0.63809722661972
NKAIN4,128414,0.004,-0.637714505195618
RIPOR2,0,0.007,-0.637592792510986
NR4A3,8013,0.023,-0.637543559074402
SLC27A5,10998,0.006,-0.637493848800659
OTUB2,78990,0.007,-0.637402951717377
NAV1,89796,0.002,-0.637185454368591
LOC102724156,0,0.003,-0.63680499792099
MGMT,4255,0.002,-0.636619687080383
GSTM3,2947,0.004,-0.636520624160767
FAM171B,165215,0.004,-0.636436641216278
GTF2F2,2963,0.003,-0.636396884918213
DNAH5,1767,0.009,-0.636295318603516
LOXL1,4016,0.004,-0.636141240596771
LOC100506100,0,0.008,-0.636077582836151
ARHGAP4,393,0.014,-0.635841071605682
GRIN3A,116443,0.02,-0.635623931884766
PRMT6,55170,0.006,-0.635569155216217
WDR1,9948,0.001,-0.635446131229401
A1BG,1,0.01,-0.635159194469452
PLXDC2,84898,0.002,-0.635081589221954
CARMIL3,0,0.002,-0.635012924671173
FAM19A1,407738,0.02,-0.634981334209442
BORCS7,0,0.016,-0.634950876235962
CPT1C,126129,0.001,-0.634882092475891
FAM196A,642938,0.004,-0.63486111164093
DNAH14,127602,0.002,-0.63482266664505
ERICH6-AS1,0,0.003,-0.634625852108002
RCN2,5955,0.017,-0.634354114532471
ZNF831,128611,0.012,-0.634233295917511
LINC02076,0,0.002,-0.634118795394897
POC1A,0,0.031,-0.634088695049286
SUMO2,6613,0.009,-0.633942902088165
GLT8D2,83468,0.01,-0.6339271068573
TRIM22,10346,0.019,-0.633899688720703
LOC440434,0,0.003,-0.633848905563354
GLRA2,2742,0.01,-0.633508861064911
TEKT2,27285,0.006,-0.633013725280762
VWA5A,4013,0.009,-0.632858276367188
PEA15,8682,0.007,-0.632291257381439
SIDT2,51092,0.001,-0.632277846336365
SPATA4,132851,0.009,-0.632270038127899
CKS1B,1163,0.005,-0.63225781917572
HGH1,0,0.002,-0.631688177585602
IL17RD,54756,0.005,-0.631037354469299
HES1,3280,0.002,-0.630974292755127
LMAN2L,81562,0.007,-0.630769431591034
PNOC,5368,0.017,-0.630624175071716
ZFR,51663,0.002,-0.630611300468445
FAM46A,55603,0,-0.63058614730835
ERBB2,2064,0.001,-0.630450785160065
JPH4,84502,0.004,-0.63042151927948
YPEL1,29799,0.016,-0.630298018455505
TSEN34,79042,0.003,-0.629920065402985
SNHG8,100093630,0.007,-0.629752933979034
SHISA9,0,0.019,-0.629708230495453
MARCO,8685,0.005,-0.629572868347168
GRIK2,2898,0.018,-0.629342317581177
DERL2,51009,0.007,-0.628792464733124
SNHG19,0,0.003,-0.62873637676239
ABR,29,0.002,-0.628200054168701
PSMB1,5689,0.035,-0.628127992153168
FAU,2197,0.005,-0.6280517578125
NUPR1,26471,0.001,-0.627996027469635
TNKS2,80351,0.002,-0.627716839313507
DNALI1,7802,0.018,-0.627663433551788
APTR,0,0.003,-0.627509951591492
FZD8,8325,0.008,-0.627484560012817
RPL39L,116832,0.01,-0.627437174320221
CPNE7,27132,0.002,-0.626924932003021
CC2D2A,57545,0.002,-0.626905739307404
LOC101927027,0,0.022,-0.626857936382294
LRRC61,65999,0.003,-0.626857042312622
CTBP2,1488,0.001,-0.626353323459625
COMTD1,118881,0.01,-0.626146376132965
COL4A1,1282,0.002,-0.626119315624237
SYT10,341359,0.025,-0.626028776168823
VANGL2,57216,0,-0.625861942768097
RFC3,5983,0.012,-0.625709712505341
GHR,2690,0.007,-0.625528991222382
MARCKS,4082,0.025,-0.625241339206696
ZRANB3,84083,0.011,-0.625109434127808
RRP7A,27341,0.009,-0.624506950378418
SOBP,55084,0.012,-0.624460339546204
LOC728715,0,0,-0.624390244483948
CNTN3,5067,0.028,-0.624330699443817
SEZ6,124925,0.004,-0.62423175573349
LSM7,51690,0.002,-0.624150156974792
SPATA33,0,0.013,-0.624067008495331
RNASEH2C,84153,0.01,-0.623970091342926
DRAXIN,0,0.01,-0.623320519924164
HMGN2,3151,0.01,-0.623029828071594
TUSC3,7991,0.029,-0.622739493846893
BLVRB,645,0.001,-0.622655868530273
CAP1,10487,0.007,-0.622460067272186
CAPN10,11132,0,-0.622270882129669
GLI1,2735,0.001,-0.622184693813324
LINC00900,0,0.031,-0.622085630893707
SLC7A4,6545,0.021,-0.62153285741806
GPM6B,2824,0.011,-0.621401607990265
ASCL2,430,0.01,-0.621185123920441
NCAM2,4685,0.017,-0.621172904968262
PKIA,5569,0.013,-0.62093061208725
RNF7,9616,0.014,-0.620798647403717
SNRPC,6631,0.007,-0.620682716369629
CALHM6,0,0.006,-0.620541512966156
LINC00643,0,0.001,-0.620226383209229
SCAPER,49855,0.004,-0.62003630399704
CRMP1,1400,0.033,-0.619588613510132
ADGRB3,0,0.041,-0.619499623775482
PCDH20,64881,0.031,-0.619414746761322
RPL24,6152,0.009,-0.618704497814178
TMEM17,200728,0.014,-0.618551731109619
R3HDM4,0,0.009,-0.618380069732666
SHF,90525,0.005,-0.618114531040192
GLOD4,51031,0.007,-0.617978751659393
ABCA1,19,0,-0.617717206478119
GNG4,2786,0.008,-0.617683589458466
NOL4L,0,0.005,-0.617651641368866
VEZT,55591,0.028,-0.617641270160675
CASK,8573,0.002,-0.617510378360748
PIM2,11040,0.014,-0.617401421070099
JPH3,57338,0.01,-0.617072224617004
TTYH3,80727,0.006,-0.616624176502228
CDH3,1001,0.01,-0.616329550743103
WWC1,23286,0.002,-0.616281807422638
KLHL13,90293,0.001,-0.616234540939331
CAMK2D,817,0.013,-0.61535656452179
HYI,81888,0.003,-0.61518269777298
RPL23,9349,0.004,-0.614735424518585
MGAT4B,11282,0.015,-0.614556729793549
RPL36,25873,0.01,-0.61452454328537
RIPK2,8767,0.011,-0.614300549030304
FAM110C,642273,0.03,-0.613901674747467
NOL4,8715,0.03,-0.613579392433167
MT1F,4494,0.012,-0.613463282585144
RAB36,9609,0.015,-0.613402307033539
PSORS1C1,170679,0.015,-0.613336861133575
MAGEH1,28986,0.036,-0.613218903541565
APLNR,187,0,-0.613056659698486
CENPVL3,0,0.017,-0.612827956676483
SGSH,6448,0.011,-0.612821161746979
NELL2,4753,0.023,-0.612444639205933
SARNP,84324,0.031,-0.612196624279022
IFI27L1,122509,0.006,-0.612143754959106
KIF22,3835,0.009,-0.611726462841034
LRRC7,57554,0.017,-0.611615359783173
OXTR,5021,0.002,-0.6116082072258
ADGRL3,0,0.013,-0.611594140529633
NUP85,79902,0.02,-0.61117285490036
CTSO,1519,0.003,-0.611028134822845
TIMP2,7077,0.002,-0.610941410064697
SCN3B,55800,0.015,-0.610910892486572
ANK3,288,0.006,-0.61060619354248
DTWD1,56986,0.005,-0.610414445400238
KCTD12,115207,0.019,-0.610190093517303
SLC2A4RG,56731,0,-0.610158979892731
DNAH2,146754,0.005,-0.609893202781677
UCHL3,7347,0.007,-0.609887540340424
FILIP1,27145,0.014,-0.609809458255768
SCN7A,6332,0.004,-0.609709799289703
TCEA3,6920,0.04,-0.609621345996857
RPS4X,6191,0.004,-0.609580278396606
CHD3,1107,0.001,-0.609539866447449
TBC1D14,57533,0.002,-0.609522819519043
FAM76A,199870,0.002,-0.609504342079163
SNX7,51375,0.025,-0.609105169773102
SUFU,51684,0.001,-0.609066605567932
ARFGAP3,26286,0.012,-0.608920633792877
HIST1H2BH,8345,0.002,-0.60868239402771
KIF21B,23046,0.015,-0.607950925827026
DPH5,51611,0,-0.607497751712799
SAMD9,54809,0.01,-0.607478439807892
MZT2A,0,0.011,-0.607348263263702
PDCD5,9141,0.004,-0.60727071762085
FUCA1,2517,0.022,-0.607250034809113
SPPL3,0,0.037,-0.606931865215302
SEMA3D,223117,0.006,-0.606842339038849
BAIAP3,8938,0.045,-0.606825649738312
NOVA2,4858,0.008,-0.606705784797668
RTBDN,83546,0.007,-0.606643855571747
PPP2R3B,28227,0,-0.606219112873077
NEBL-AS1,0,0.003,-0.606169700622559
TMEM263,0,0.045,-0.606164336204529
GPR27,2850,0.008,-0.605768740177155
CCDC112,153733,0.001,-0.605689227581024
OTUD1,220213,0.027,-0.605381667613983
MYL12B,103910,0.011,-0.605104029178619
TPT1,7178,0,-0.60480660200119
PDYN,5173,0.008,-0.604684352874756
SLC35F2,54733,0.024,-0.604600727558136
DDAH2,23564,0.005,-0.604540348052979
MEIS3,0,0.031,-0.604523777961731
TYW5,0,0.007,-0.604478359222412
BIRC3,330,0.012,-0.604468107223511
FAM149A,25854,0.004,-0.60444039106369
MYL5,4636,0.012,-0.604285478591919
WNT10B,7480,0.014,-0.604199469089508
SLIT1,6585,0.016,-0.604106187820435
SEZ6L,23544,0.019,-0.603885769844055
CLTCL1,8218,0.033,-0.603775441646576
COPZ1,22818,0.023,-0.603472650051117
EFNB3,1949,0.009,-0.60273689031601
C8orf58,541565,0.001,-0.602655529975891
NSFL1C,55968,0.037,-0.60243946313858
CPNE2,221184,0.002,-0.602298021316528
ZSCAN18,65982,0.024,-0.602214753627777
ST8SIA4,7903,0.002,-0.602041900157928
PALMD,54873,0.008,-0.601932466030121
RPS24,6229,0.002,-0.601814389228821
LY6H,4062,0.027,-0.601476788520813
RPL32,6161,0.003,-0.601325571537018
CNRIP1,25927,0.024,-0.601190090179443
IQCD,115811,0,-0.601060390472412
NKAIN2,154215,0.01,-0.600756824016571
DEAF1,10522,0.004,-0.600748479366302
TSPAN4,7106,0.001,-0.600709438323975
CCEPR,0,0.006,-0.600592911243439
RIIAD1,0,0.016,-0.600326120853424
RALGPS2,55103,0.002,-0.600321412086487
PHPT1,29085,0.013,-0.600235104560852
C5orf49,134121,0.042,-0.600199997425079
NAV3,89795,0.035,-0.600142896175385
GABRB1,2560,0.006,-0.599724888801575
DAPL1,92196,0.013,-0.599522113800049
SLC8A2,6543,0.026,-0.599327981472015
TNIK,23043,0.005,-0.599144816398621
IFI27L2,83982,0.013,-0.598604261875153
PLPPR5,0,0.024,-0.598467767238617
RPL35A,6165,0.003,-0.598249614238739
MAN1A1,4121,0.002,-0.598134398460388
TP53BP1,7158,0.006,-0.597942531108856
CCNA1,8900,0.014,-0.597867548465729
PINLYP,0,0.003,-0.597797811031342
LOC642852,642852,0.01,-0.597736299037933
RAB40B,10966,0.012,-0.597566068172455
C2orf73,129852,0.006,-0.597539484500885
ERCC2,2068,0.031,-0.597265720367432
CXXC4,80319,0.015,-0.596634328365326
SEC61B,10952,0.002,-0.596404850482941
RASL10A,10633,0.022,-0.596274137496948
FAM184A,79632,0.021,-0.596181035041809
ANKRD50,57182,0.002,-0.595945477485657
HADH,3033,0.005,-0.595691382884979
CCDC148,130940,0.003,-0.595671653747559
TMEM234,0,0.015,-0.595537543296814
CHID1,66005,0.023,-0.595487594604492
RIN1,9610,0.004,-0.595456600189209
CMSS1,0,0.026,-0.595361471176147
ZMYND10,51364,0.031,-0.595172345638275
TMEM159,57146,0.013,-0.595030784606934
NELFE,0,0.038,-0.594886422157288
LRRC3B,116135,0.012,-0.59488582611084
02-Mar,0,0.003,-0.594756841659546
CXADRP2,0,0.005,-0.59470933675766
RAP1GAP,5909,0.002,-0.594478785991669
PMF1,11243,0.009,-0.594277560710907
HTR1A,3350,0.023,-0.59425961971283
SGSM2,9905,0.003,-0.594075620174408
TCAP,8557,0.009,-0.594055712223053
SRGAP1,57522,0.003,-0.594011843204498
NECAB2,54550,0.021,-0.593952119350433
FABP5,2171,0.003,-0.59380042552948
FZD7,8324,0.001,-0.593667089939117
LOC285097,0,0.006,-0.593462467193604
CD81,975,0.016,-0.59328019618988
TRIM27,5987,0.035,-0.593200385570526
ANO2,57101,0.011,-0.593103647232056
HEYL,26508,0.003,-0.593076467514038
DERL1,79139,0.013,-0.592990338802338
STK25,10494,0.035,-0.59296578168869
UNC5B-AS1,0,0.019,-0.592582106590271
CRHBP,1393,0.014,-0.592517197132111
DPY19L3,147991,0.002,-0.592334687709808
HPCAL4,51440,0.01,-0.592249751091003
FZD1,8321,0.008,-0.592222213745117
TMEM158,25907,0.011,-0.591984808444977
GNB4,59345,0.067,-0.591960072517395
NUMBL,9253,0.004,-0.591950178146362
MZT2B,0,0.021,-0.591912031173706
ACOT2,10965,0.013,-0.591911256313324
SMAD2,4087,0.008,-0.591884553432465
SIVA1,10572,0.006,-0.591703534126282
ACKR3,0,0.019,-0.591626763343811
C1orf194,127003,0.002,-0.591595351696014
SPINT2,0,0.024,-0.590970754623413
ARPC5,10092,0.001,-0.590481460094452
PSMB2,5690,0.003,-0.590454816818237
SYNPR,132204,0.062,-0.590404093265533
GPC4,2239,0.006,-0.590187788009644
HIST1H2BK,85236,0.018,-0.589794456958771
EEF1AKMT1,0,0.002,-0.589711427688599
MAOB,4129,0.009,-0.589639186859131
DUSP18,150290,0.001,-0.589434444904327
IL1B,3553,0.018,-0.589338302612305
WDR25,79446,0.023,-0.589050114154816
RSPO3,84870,0.005,-0.589031875133514
PHF13,148479,0.011,-0.58842808008194
LIN7B,64130,0.013,-0.588343381881714
LINC01094,0,0.005,-0.588205397129059
SSTR1,6751,0.029,-0.588022410869598
TMEM200A,114801,0.006,-0.587699115276337
THTPA,79178,0.021,-0.587617993354797
APLN,8862,0.001,-0.587549805641174
PMVK,10654,0.059,-0.587316751480103
MYH7,4625,0.022,-0.587285220623016
POLR2G,5436,0.029,-0.587281346321106
SMIM29,0,0.018,-0.587229013442993
RAB3B,5865,0.016,-0.587158203125
PIAS3,10401,0.002,-0.58715808391571
LSM3,27258,0.042,-0.586650907993317
CD163,9332,0.01,-0.586610674858093
LOC728392,728392,0.016,-0.586444079875946
VPS37D,155382,0.037,-0.586351931095123
CFAP61,0,0.001,-0.586127877235413
HECTD2,143279,0.015,-0.585656464099884
UQCC2,0,0.014,-0.585527658462524
FARSB,10056,0.013,-0.585429012775421
B9D1,27077,0.039,-0.584847211837769
HIST1H2BC,8347,0.003,-0.584760308265686
TRIM24,8805,0.047,-0.584756374359131
PEG10,23089,0.002,-0.584537327289581
ELFN2,0,0.011,-0.584354937076569
GSPT2,23708,0.004,-0.583985328674316
GPR183,1880,0,-0.583950877189636
EFHC2,80258,0.049,-0.583413064479828
ATOX1,475,0.02,-0.583071291446686
ACP1,52,0.036,-0.582960367202759
PQLC3,130814,0,-0.582844853401184
SMARCD1,6602,0.001,-0.582588791847229
FUK,197258,0.01,-0.582442104816437
DOCK7,85440,0.001,-0.582404255867004
ADCYAP1R1,117,0.002,-0.582217752933502
RGS9,8787,0.001,-0.582127571105957
LOC729970,0,0.016,-0.581878423690796
STUM,0,0.036,-0.581742286682129
IQCK,124152,0.01,-0.581719040870667
PLD6,201164,0.005,-0.581243515014648
SEC11C,90701,0.001,-0.581154942512512
FAM241B,0,0.014,-0.581134259700775
FAM105A,54491,0.011,-0.581076264381409
HERC4,26091,0.004,-0.580760478973389
CACNG4,27092,0.002,-0.580748081207275
SLC39A6,25800,0.002,-0.580738246440887
TEX9,374618,0,-0.580691635608673
PYGL,5836,0.025,-0.580625295639038
PSENEN,55851,0.039,-0.580617725849152
GPR6,2830,0.016,-0.58055579662323
EGLN1,54583,0.002,-0.580439567565918
GRIA1,2890,0.007,-0.579909801483154
PLPPR3,0,0.03,-0.579871475696564
EFCAB1,79645,0.027,-0.57983934879303
MRPL23,6150,0.009,-0.579769015312195
GRIK1,2897,0.018,-0.579485416412354
TIMP1,7076,0,-0.579354643821716
IL12RB2,3595,0.011,-0.579284906387329
PUS7L,83448,0.001,-0.57911205291748
ZNF589,51385,0.004,-0.578983128070831
SLC26A11,284129,0.005,-0.578871667385101
UBL5,59286,0.021,-0.578482925891876
NPY1R,4886,0.063,-0.578386843204498
TEK,7010,0.003,-0.578297734260559
TRPC4,7223,0.005,-0.578000128269196
UPP2,151531,0.014,-0.57794976234436
ACOX3,8310,0.026,-0.577804863452911
PLTP,5360,0.013,-0.577757596969604
AK4,0,0.001,-0.577188968658447
SUSD1,64420,0.033,-0.577041208744049
MMP16,4325,0.014,-0.576606929302216
PLXND1,23129,0.014,-0.576318204402924
RPL6,0,0.002,-0.576198697090149
GDA,9615,0.024,-0.576068520545959
DENND1C,79958,0.011,-0.575719952583313
PRKCD,5580,0.031,-0.575673341751099
SRRD,402055,0.029,-0.575537919998169
TTYH1,57348,0.013,-0.57551646232605
TRMT112,51504,0.042,-0.575465202331543
HPCA,3208,0.025,-0.575092732906342
ASPHD2,57168,0.03,-0.575010001659393
KRT14,3861,0.012,-0.574656367301941
GNPTAB,79158,0.027,-0.574582815170288
BCR,613,0.005,-0.574519991874695
STXBP4,252983,0.001,-0.574448049068451
FBLN2,2199,0.001,-0.574405074119568
CFAP97,0,0.01,-0.574354827404022
STXBP3,6814,0.001,-0.574353039264679
ILF3-AS1,0,0.006,-0.574244797229767
CHST1,8534,0.036,-0.574163913726807
LMO3,55885,0.126,-0.574028134346008
ATP2B4,493,0.032,-0.573799073696136
BAIAP2,10458,0.011,-0.573642253875732
CES4A,0,0.014,-0.573463678359985
C6orf118,168090,0.005,-0.573430359363556
FAM172A,83989,0.046,-0.573230266571045
MANEAL,149175,0.013,-0.572762608528137
WISP2,8839,0.011,-0.572706758975983
TMEM215,401498,0.009,-0.572673499584198
LOC441052,441052,0.012,-0.572640120983124
ARPC2,10109,0.063,-0.57252824306488
PNCK,139728,0.032,-0.572489678859711
NUCB2,4925,0.001,-0.571449160575867
SPATC1L,0,0.016,-0.571394324302673
TEAD1,7003,0.003,-0.571242451667786
HHIPL1,84439,0.003,-0.570934236049652
NANOS1,340719,0.02,-0.570931136608124
GPM6A,2823,0.028,-0.570881009101868
RELN,5649,0,-0.570857584476471
NBDY,0,0.015,-0.570834398269653
SNCA,6622,0.045,-0.570757746696472
TSPAN18,90139,0.006,-0.570730924606323
SIGLEC11,114132,0.005,-0.570260941982269
TAC3,6866,0.01,-0.570009231567383
FSTL5,56884,0.129,-0.569984436035156
ZNF438,220929,0.002,-0.569972217082977
SP5,389058,0.047,-0.569865107536316
DKFZp779M0652,0,0.019,-0.56974869966507
FKBP1A,2280,0.035,-0.569725096225739
HIST2H2AC,8338,0.001,-0.569661796092987
