EnrichmentFDR,nGenes,PathwayGenes,FoldEnrichment,Pathway,URL,Genes,Loadings
1.2301454740096e-05,70,451,2.00010278020453,regulation of membrane potential ,42391, BID  GCLM  BAK1  ADRB1  SLC4A8  ATP1B3  MTMR2  SLC9A1  DLD  STX1B  HCN2  P2RX6  ZMYND8  FMR1  KCNN4  ATP1A3  SCN1B  CNTNAP1  GABRA4  GLRB  KCNA1  SOD2  SLC29A1  GABRG2  SLC25A36  FGF12  AKAP7  GOT1  KCNJ8  FGF13  POPDC3  ATP1A4  MYC  PPP3CA  SLC39A8  CACNA1A  ATP1B1  KCNH1  SCN1A  GABRB2  SCN2B  AKAP6  GNA14  DGKI  KCNB1  ATP1A1  ADORA1  HCN1  CACNG2  PIP5KL1  MECP2  KCND3  GLRX  KCNH6  ATP2A2  SCN4B  KCNA2  CACNB4  GRID1  GJC1  SLC8A1  GRIN2A  KCNK12  KCNJ11  GABRD  LRRK2  SCN8A  BCO2  RYR2  INSYN1,0.51414301170819
4.40646659025828e-08,130,909,1.84293613080924,inorganic ion transmembrane transport ,98660, NIPAL3  HECW1  SLC25A5  ABCC8  CACNA2D2  PKD1  SLC6A13  SLC6A7  SLC4A8  ATG5  SPHK2  CACNB1  ATP2B3  ATP1B3  GNB5  ATP2B1  TMEM38A  CLCN4  TESC  SLC9A1  MCOLN1  HCN2  APOL1  FMR1  NIPAL2  SLC39A14  KCNN4  ATP1A3  CACNG7  ATP4A  SCN1B  KCNT1  GABRA4  STIM2  GLRB  SLC6A12  KCNA1  SLC4A9  GABRG2  FGF12  KLHL24  KCNIP3  SLC25A12  KCNC4  AKAP7  PKD2  KCNJ8  SLC36A1  KCNS1  SLC12A5  KCNC1  FGF13  DPP6  CACNG6  SLC6A6  KCNC3  SNAP25  ATP1A4  SLC9A5  CAB39  SLC31A1  ATP6V1G1  SLC5A6  COX17  TRPC3  SLC39A8  SLC15A4  AFG3L2  STAC2  CACNA1A  TRPM2  CACNG8  ATP1B1  XPR1  KCNH1  SLC20A1  SCN1A  GABRB2  SHROOM2  ATP6V1B2  SLC25A37  SLC25A25  CNNM2  SCN2B  ITPR1  AKAP6  ANKH  SLC24A2  KCNS2  ATP2B2  STEAP2  CACNA2D3  KCNB1  COX7A1  LRRC38  ATP1A1  CCDC51  C4orf3  HCN1  SLC39A13  CUL5  CACNG2  SLC20A2  SLC33A1  KCNAB3  KCNS3  KCND3  ANO5  OXSR1  GLRX  KCNH6  ATP2A2  UCP3  SCN4B  KCNA3  KCNA2  KCNJ14  CACNB4  SLC8A1  GAS6  GRIN2A  KCNK12  KCNQ5  SESTD1  KCNJ11  GABRD  SCN8A  ANXA6  RYR2  ATP6V1E2,0.526940630032466
1.26603755375514e-07,120,843,1.83435964183476,inorganic cation transmembrane transport ,98662, NIPAL3  HECW1  SLC25A5  ABCC8  CACNA2D2  PKD1  SLC6A13  SLC6A7  SLC4A8  ATG5  SPHK2  CACNB1  ATP2B3  ATP1B3  GNB5  ATP2B1  TMEM38A  CLCN4  TESC  SLC9A1  MCOLN1  HCN2  FMR1  NIPAL2  SLC39A14  KCNN4  ATP1A3  CACNG7  ATP4A  SCN1B  KCNT1  STIM2  SLC6A12  KCNA1  SLC4A9  FGF12  KLHL24  KCNIP3  SLC25A12  KCNC4  AKAP7  PKD2  KCNJ8  SLC36A1  KCNS1  SLC12A5  KCNC1  FGF13  DPP6  CACNG6  SLC6A6  KCNC3  SNAP25  ATP1A4  SLC9A5  CAB39  SLC31A1  ATP6V1G1  COX17  TRPC3  SLC39A8  SLC15A4  AFG3L2  STAC2  CACNA1A  TRPM2  CACNG8  ATP1B1  KCNH1  SLC20A1  SCN1A  SHROOM2  ATP6V1B2  SLC25A37  SLC25A25  CNNM2  SCN2B  ITPR1  AKAP6  SLC24A2  KCNS2  ATP2B2  STEAP2  CACNA2D3  KCNB1  COX7A1  LRRC38  ATP1A1  CCDC51  C4orf3  HCN1  SLC39A13  CUL5  CACNG2  SLC20A2  SLC33A1  KCNAB3  KCNS3  KCND3  OXSR1  GLRX  KCNH6  ATP2A2  UCP3  SCN4B  KCNA3  KCNA2  KCNJ14  CACNB4  SLC8A1  GAS6  GRIN2A  KCNK12  KCNQ5  SESTD1  KCNJ11  SCN8A  ANXA6  RYR2  ATP6V1E2,0.527395979811748
0.000199697296919821,73,518,1.81603375159056,signal release ,23061, ICA1  ABCC8  NOS2  CACNA2D2  SLC4A8  TM7SF3  CYB5R4  CADPS2  GNAS  SIRT4  RPH3A  STX1B  SNPH  FMR1  NAPA  CPT1A  PPARD  GPLD1  PASK  TARDBP  GIPC1  ACVR1C  PFKFB2  PNKD  LIF  VGF  SNAP25  ARNTL  RAB11FIP5  STXBP1  PREPL  NAAA  PPP3CA  CACNA1A  TRPM2  SYT2  TMF1  STXBP5L  CPLX2  CAMK2G  TCF7L2  ADM  ITPR1  PRKCA  DGKI  BRAF  KCNB1  SYNJ1  KALRN  BRSK1  VSNL1  ADORA1  ADCY1  PRKCB  GALR1  NKX3-1  CPLX1  IRS1  KCNS3  SYT12  ATP2A2  FZD4  KCNA2  STX19  EFNA5  RAB11B  SYN3  PIP5K1C  KCNJ11  LRRK2  PIM3  SYT15  SYT3,0.518334674916855
0.000270010828736944,74,533,1.78910292646867,regulation of ion transmembrane transport ,34765, HECW1  ABCC8  CACNA2D2  CAPN1  GOPC  ATG5  RASGRF1  SPHK2  CACNB1  ATP1B3  GNB5  TMEM38A  TESC  SLC9A1  HCN2  FMR1  KCNN4  CACNG7  SCN1B  STIM2  PPARGC1A  KCNA1  FGF12  KLHL24  KCNIP3  KCNC4  AKAP7  PKD2  KCNJ8  KCNS1  KCNC1  FGF13  DPP6  CACNG6  KCNC3  EPHB2  CAB39  COX17  STAC2  CACNA1A  CACNG8  ATP1B1  KCNH1  SCN1A  SCN2B  AKAP6  KCNS2  CACNA2D3  KCNB1  LRRC38  C4orf3  HCN1  CACNG2  KCNAB3  KCNS3  KCND3  OXSR1  GLRX  KCNH6  SCN4B  KCNA3  KCNA2  KCNJ14  CACNB4  SLC8A1  GRIN2A  KCNK12  KCNQ5  SESTD1  KCNJ11  SCN8A  ARC  RYR2  NEFL,0.534420509998863
9.49283945738768e-08,136,986,1.77743123915713,cation transmembrane transport ,98655, NIPAL3  HECW1  SLC25A5  ABCC8  CACNA2D2  PKD1  SLC6A13  SLC6A7  CAPN1  SLC4A8  ATG5  RASGRF1  SPHK2  CACNB1  ATP2B3  ATP1B3  GNB5  ATP2B1  TMEM38A  CLCN4  TESC  SLC9A1  MCOLN1  SLC7A8  HCN2  P2RX6  FMR1  SLC25A15  NIPAL2  SLC39A14  KCNN4  ATP1A3  CACNG7  ATP4A  SCN1B  KCNT1  STIM2  PPARGC1A  SLC6A12  KCNA1  SLC4A9  FGF12  PEX5L  KLHL24  KCNIP3  SLC25A12  KCNC4  SLC19A2  AKAP7  PKD2  KCNJ8  SLC36A1  KCNS1  SLC12A5  KCNC1  FGF13  DPP6  CACNG6  SLC6A6  KCNC3  SNAP25  ATP1A4  EPHB2  ATP13A3  SLC9A5  SLC19A3  CAB39  SLC31A1  ATP6V1G1  COX17  TRPC3  SLC39A8  SLC15A4  AFG3L2  STAC2  CACNA1A  TRPM2  CACNG8  SLC47A1  ATP1B1  KCNH1  SLC20A1  SCN1A  SHROOM2  ATP6V1B2  SLC25A37  SLC25A25  CNNM2  SCN2B  ITPR1  AKAP6  SLC24A2  KCNS2  ATP2B2  STEAP2  CACNA2D3  KCNB1  COX7A1  LRRC38  ATP1A1  CCDC51  C4orf3  SFXN1  HCN1  SLC39A13  CUL5  CACNG2  SLC20A2  SLC33A1  KCNAB3  KCNS3  KCND3  OXSR1  GLRX  KCNH6  ATP2A2  UCP3  SLC38A9  SCN4B  KCNA3  KCNA2  KCNJ14  CACNB4  SLC8A1  GAS6  GRIN2A  KCNK12  KCNQ5  SESTD1  KCNJ11  SCN8A  ANXA6  ARC  RYR2  ATP6V1E2  NEFL,0.522409789921606
0.000186143655391646,84,622,1.74028235473745,regulation of transmembrane transport ,34762, HECW1  ABCC8  CACNA2D2  CAPN1  GOPC  OPN3  ATG5  RASGRF1  SPHK2  CACNB1  ATP1B3  GNB5  TMEM38A  TESC  SLC9A1  SORBS1  HCN2  FMR1  KCNN4  CACNG7  SCN1B  STIM2  PPARGC1A  KCNA1  FGF12  KLHL24  KCNIP3  KCNC4  AKAP7  PKD2  RHOQ  KCNJ8  KCNS1  RTN2  KCNC1  FGF13  DPP6  CACNG6  KCNC3  EPHB2  CAB39  MYC  PIM1  COX17  STAC2  CACNA1A  CACNG8  ATP1B1  KCNH1  SCN1A  SCN2B  AKAP6  KCNS2  CACNA2D3  APPL1  BRAF  KCNB1  LRRC38  C4orf3  HCN1  PRKCB  CACNG2  IRS1  KCNAB3  KCNS3  KCND3  OXSR1  GLRX  KCNH6  SCN4B  KCNA3  KCNA2  KCNJ14  CACNB4  SLC8A1  GRIN2A  KCNK12  KCNQ5  SESTD1  KCNJ11  SCN8A  ARC  RYR2  NEFL,0.536109052243687
4.12001253064803e-07,132,984,1.72866026003392,metal ion transport ,30001, NIPAL3  HECW1  ABCC8  CACNA2D2  PKD1  SLC6A13  SLC6A7  BAK1  SLC4A8  ATG5  SPHK2  CACNB1  ATP2B3  ATP1B3  GNB5  ATP2B1  TMEM38A  TESC  SLC9A1  MCOLN1  SLC17A6  HCN2  FMR1  MAGED2  NIPAL2  SLC39A14  KCNN4  ATP1A3  CACNG7  ATP4A  SCN1B  KCNT1  STIM2  SLC6A12  KCNA1  CDKN1B  SLC38A1  SLC4A9  FGF12  KLHL24  KCNIP3  SLC25A12  KCNC4  AKAP7  PKD2  KCNJ8  KCNS1  SLC12A5  ATF4  KCNC1  FGF13  DPP6  CACNG6  ABCB7  SLC6A6  KCNC3  SNAP25  ATP1A4  SLC38A2  SLC9A5  CAB39  SLC31A1  ATP6V1G1  SLC5A6  COX17  TRPC3  PPP3CA  SLC39A8  AFG3L2  STAC2  CACNA1A  TRPM2  CACNG8  ATP1B1  KCNH1  SLC20A1  SCN1A  SHROOM2  ATP6V1B2  SLC25A37  SLC25A25  CAMK2G  CNNM2  SCN2B  ITPR1  AKAP6  SLC24A2  KCNS2  ATP2B2  STEAP2  CACNA2D3  KCNB1  EPB41  SPTBN4  LRRC38  ATP1A1  ADORA1  CCDC51  C4orf3  HCN1  LMTK2  SLC39A13  CUL5  PRKCB  CACNG2  SLC20A2  SLC38A11  KCNAB3  KCNS3  KCND3  OXSR1  GLRX  KCNH6  REP15  ATP2A2  SCN4B  KCNA3  KCNA2  KCNJ14  CACNB4  SLC8A1  GAS6  GRIN2A  KCNK12  RAB11B  KCNQ5  SESTD1  KCNJ11  SCN8A  ANXA6  RYR2  ATP6V1E2,0.525474951574297
9.39819058919207e-05,100,767,1.68010123649142,chemical synaptic transmission ,7268, CAMKK1  NCDN  SLC4A8  RASGRF1  CACNB1  SNCB  CADPS2  MTMR2  ACHE  RPH3A  SLC17A6  STX1B  P2RX6  ZMYND8  SNPH  MYLK2  PLCB4  FMR1  ZDHHC2  PLAT  NAPA  CACNG7  CPEB3  GABRA4  GLRB  CAMKK2  KCNA1  SLC29A1  GABRG2  FGF12  PLCL1  KCNC4  AKAP7  SV2C  GIPC1  SLC12A5  PNKD  ATF4  VGF  LRRC4  AKAP12  SLC6A6  MAP1B  SNAP25  EPHB2  STXBP1  PREPL  USP8  NAAA  PPP3CA  NOVA1  CACNA1A  CACNG8  SYT2  STXBP5L  GABRB2  CPLX2  STAR  SCN2B  SLC24A2  KIF5A  HTR5A  DGKI  BRAF  KCNB1  SYNJ1  BRSK1  ELAVL4  ADORA1  ABHD6  ZDHHC3  ADCY1  PRKCB  CACNG2  MAP1A  CA7  CPLX1  MECP2  DLGAP1  PDE7B  SYT12  ATP2A2  RPS6KA3  PCDHB9  STX19  HTR1F  LYNX1  CACNB4  PLCB1  GRID1  GJC1  GRIN2A  SYN3  PIP5K1C  GABRD  LRRK2  PCDHB11  ARC  INSYN1  PCDHB16,0.514770875374476
9.39819058919207e-05,100,767,1.68010123649142,anterograde trans-synaptic signaling ,98916, CAMKK1  NCDN  SLC4A8  RASGRF1  CACNB1  SNCB  CADPS2  MTMR2  ACHE  RPH3A  SLC17A6  STX1B  P2RX6  ZMYND8  SNPH  MYLK2  PLCB4  FMR1  ZDHHC2  PLAT  NAPA  CACNG7  CPEB3  GABRA4  GLRB  CAMKK2  KCNA1  SLC29A1  GABRG2  FGF12  PLCL1  KCNC4  AKAP7  SV2C  GIPC1  SLC12A5  PNKD  ATF4  VGF  LRRC4  AKAP12  SLC6A6  MAP1B  SNAP25  EPHB2  STXBP1  PREPL  USP8  NAAA  PPP3CA  NOVA1  CACNA1A  CACNG8  SYT2  STXBP5L  GABRB2  CPLX2  STAR  SCN2B  SLC24A2  KIF5A  HTR5A  DGKI  BRAF  KCNB1  SYNJ1  BRSK1  ELAVL4  ADORA1  ABHD6  ZDHHC3  ADCY1  PRKCB  CACNG2  MAP1A  CA7  CPLX1  MECP2  DLGAP1  PDE7B  SYT12  ATP2A2  RPS6KA3  PCDHB9  STX19  HTR1F  LYNX1  CACNB4  PLCB1  GRID1  GJC1  GRIN2A  SYN3  PIP5K1C  GABRD  LRRK2  PCDHB11  ARC  INSYN1  PCDHB16,0.514770875374476
9.39819058919207e-05,101,776,1.67722168153713,trans-synaptic signaling ,99537, CAMKK1  NCDN  SLC4A8  RASGRF1  CACNB1  SNCB  CADPS2  MTMR2  ACHE  RPH3A  SLC17A6  STX1B  P2RX6  ZMYND8  SNPH  MYLK2  PLCB4  FMR1  ZDHHC2  PLAT  NAPA  CACNG7  CPEB3  GABRA4  GLRB  CAMKK2  KCNA1  SLC29A1  GABRG2  FGF12  PLCL1  KCNC4  AKAP7  SV2C  GIPC1  SLC12A5  PNKD  ATF4  VGF  LRRC4  AKAP12  SLC6A6  MAP1B  SNAP25  EPHB2  STXBP1  PREPL  USP8  NAAA  PPP3CA  NOVA1  CACNA1A  CACNG8  SYT2  STXBP5L  GABRB2  CPLX2  STAR  SCN2B  SLC24A2  KIF5A  HTR5A  DGKI  BRAF  KCNB1  SYNJ1  BRSK1  ELAVL4  ADORA1  ABHD6  ZDHHC3  ADCY1  PRKCB  CACNG2  MAP1A  CA7  CPLX1  MECP2  DLGAP1  PDE7B  SYT12  ATP2A2  RPS6KA3  PCDHB9  STX19  HTR1F  LYNX1  CACNB4  PLCB1  GRID1  GJC1  GRIN2A  SYN3  PIP5K1C  GABRD  LRRK2  IL1RAP  PCDHB11  ARC  INSYN1  PCDHB16,0.5157234826684
0.000949061863578561,80,615,1.67627661579047,cellular component disassembly ,22411, SLC25A5  ABCC8  CAPN1  CLEC16A  PHF23  USP36  ATG5  DHX8  FUNDC1  WIPI1  NCK2  FAP  MRPL22  MTIF2  ADD1  KIF9  MCOLN1  SUPT16H  SH3BP1  MRPL4  NAPA  TGFBR1  SMARCD2  MRPL27  PPARGC1A  CAMKK2  MRPS30  MFN2  MTRF1  PIK3CA  ACVR1C  TTBK2  FGF13  MRPL34  MAP1B  MRPL35  MICAL2  CCNB1  VILL  CKAP2  MRPL47  MYC  MRPL15  SMARCC2  MAP1LC3B  CTSK  IQSEC1  CISD2  CDKN2A  MRRF  ADAM8  PRKCA  ADAMTS5  OXA1L  AIFM1  NRG1  SYNJ1  SPTBN4  UBQLN4  EIF5A2  TEX264  CFL2  FUNDC2  FRAT1  PRKCB  NDEL1  MRPL16  MAP1A  ATP2A2  ATG13  MRPL48  CIDEA  FRAT2  MRPS11  H1-0  ARID2  NOXO1  WDR45  UVRAG  MRPL12,0.494001365537885
1.26603755375514e-07,161,1251,1.6584385402927,ion transmembrane transport ,34220, NIPAL3  HECW1  SLC25A5  ABCC8  CACNA2D2  PKD1  SLC6A13  SLC6A7  CAPN1  BAK1  GOPC  SLC4A8  ATG5  RASGRF1  SPHK2  CACNB1  ATP2B3  ATP1B3  GNB5  ATP2B1  TMEM38A  CLCN4  TESC  SLC9A1  MCOLN1  SLC17A6  SLC7A8  HCN2  P2RX6  APOL1  SLC25A17  FMR1  SLC25A15  NIPAL2  SLC39A14  KCNN4  ATP1A3  CACNG7  ATP4A  SCN1B  KCNT1  GABRA4  STIM2  GLRB  PPARGC1A  SLC6A12  KCNA1  SLC4A9  GABRG2  FGF12  PEX5L  KLHL24  KCNIP3  SLC25A12  KCNC4  SLC19A2  AKAP7  SLC16A7  PKD2  KCNJ8  SLC36A1  KCNS1  SLC12A5  KCNC1  FGF13  DPP6  CACNG6  SLC6A6  KCNC3  SNAP25  ATP1A4  EPHB2  ATP13A3  SLC9A5  SLC19A3  CAB39  SLC31A1  ATP6V1G1  MYC  SLC5A6  SLC3A1  COX17  TRPC3  SLC39A8  SLC15A4  AFG3L2  STAC2  CACNA1A  TRPM2  CACNG8  SLC47A1  ATP1B1  XPR1  KCNH1  ATP8B2  SLC20A1  SCN1A  GABRB2  SHROOM2  ATP6V1B2  SLC25A37  SLC25A25  CNNM2  SCN2B  ITPR1  AKAP6  ANKH  SLC24A2  KCNS2  ATP2B2  STEAP2  CACNA2D3  TSC22D3  KCNB1  COX7A1  LRRC38  ATP1A1  CCDC51  C4orf3  SFXN1  HCN1  SLC25A32  SLC39A13  CUL5  CACNG2  SLC20A2  SLC33A1  KCNAB3  EMB  KCNS3  KCND3  LRRC8C  ANO5  OXSR1  GLRX  KCNH6  ATP2A2  UCP3  SLC38A9  SCN4B  KCNA3  KCNA2  KCNJ14  CACNB4  GRID1  GJC1  SLC8A1  GAS6  GRIN2A  KCNK12  KCNQ5  SESTD1  KCNJ11  GABRD  SCN8A  ANXA6  ARC  RYR2  ATP10A  ATP6V1E2  NEFL,0.517821145168743
0.000144380631118341,104,815,1.64439650837359,synaptic signaling ,99536, CAMKK1  NCDN  SLC4A8  RASGRF1  CACNB1  SNCB  CADPS2  MTMR2  ACHE  RPH3A  SLC17A6  STX1B  P2RX6  ZMYND8  SNPH  MYLK2  PLCB4  FMR1  DRP2  ZDHHC2  PLAT  NAPA  CACNG7  CPEB3  GABRA4  GLRB  CAMKK2  KCNA1  SLC29A1  GABRG2  FGF12  PLCL1  KCNC4  AKAP7  SV2C  GIPC1  SLC12A5  PNKD  ATF4  VGF  LRRC4  AKAP12  SLC6A6  MAP1B  SNAP25  EPHB2  STXBP1  PREPL  USP8  NAAA  PPP3CA  NOVA1  CACNA1A  CACNG8  SYT2  STXBP5L  GABRB2  CPLX2  STAR  SCN2B  SLC24A2  KIF5A  NRG1  HTR5A  DGKI  BRAF  KCNB1  SYNJ1  BRSK1  ELAVL4  ADORA1  ABHD6  ZDHHC3  ADCY1  PRKCB  CACNG2  MAP1A  CA7  CPLX1  MECP2  DLGAP1  PDE7B  SYT12  ATP2A2  KCMF1  RPS6KA3  PCDHB9  STX19  HTR1F  LYNX1  CACNB4  PLCB1  GRID1  GJC1  GRIN2A  SYN3  PIP5K1C  GABRD  LRRK2  IL1RAP  PCDHB11  ARC  INSYN1  PCDHB16,0.516451706006689
